,Unit,vin,price,miles,year,,model,vehicle_type,body_type,fuel_type,engine,transmission,color,zip,state,city,seller_type,is_certified,dom,dom_180,msrp,seller_name
1,1,19UDE2F3XGA002005,16997,25499,2016,,ILX,Car,Sedan,Premium Unleaded,2.0L L4 16V DOHC,Automated Manual,,28273,NC,Charlotte,dealer,,60,60,16997,hendrick honda
2,1,19UUB1F35FA009543,21491,33352,2015,,TLX,Car,Sedan,Premium Unleaded,2.5L L4 DOHC 16V,Automated Manual,Graphite Luster Metallic,28227,NC,Charlotte,dealer,,90,3,21491,hendrick bmw
3,1,19UUB2F75FA000172,24499,22888,2015,,TLX,Van,Sedan,Premium Unleaded,3.5L V6 SOHC 24V,Automatic,Graphite Luster Metallic,28269,NC,Charlotte,dealer,1,83,82,24499,audi northlake
4,1,1C4BJWDG7HL502000,33635,17956,2017,,Wrangler,SUV,SUV,Regular Unleaded,3.6L V6 DOHC 24V FFV,Manual,Firecracker Red,28227,NC,Charlotte,dealer,,154,27,33635,hendrick acura
5,1,1C4NJPCB5ED547385,13878,71061,2014,,Patriot,SUV,SUV,Regular Unleaded,2.4L L4 DOHC 16V,Automatic,True Blue Pearlcoat,28273-6935,NC,Charlotte,dealer,,110,49,13878,hendrickcars.com charlotte
6,1,1C4NJRFB9GD586040,12998,65101,2016,,Patriot,SUV,SUV,Regular Unleaded,2.4L L4 DOHC 16V,Automatic,Granite Crystal Metallic Clearcoat,28227,NC,Charlotte,dealer,,93,64,12998,jaguar charlotte
7,1,1C4RJFAG1EC205173,17998,80411,2014,,Grand Cherokee,SUV,SUV,Flex-Fuel,3.6L V6 DOHC 24V,Automatic,Deep Cherry Red Crystal Pearlcoat,28227,NC,Charlotte,dealer,,46,11,17998,hendrick acura
8,1,1C4RJFAG3GC357037,21999,53189,2016,,Grand Cherokee,SUV,SUV,Flex-Fuel,3.6L V6 DOHC 24V,Automatic,,28273,NC,Charlotte,dealer,,46,19,21999,south charlotte nissan
9,1,1C4RJFBG5FC731872,28998,26000,2015,,Grand Cherokee,SUV,SUV,Flex-Fuel,3.6L V6 DOHC 24V,Automatic,,28227,NC,Charlotte,dealer,,3,3,,carmax independence boulevard
10,1,1C6RR6FT9HS655427,27890,16810,2017,,1500,Truck,Pickup,Flex-Fuel,5.7L V8 OHV 16V,Automatic,Granite Crystal Metallic Clearcoat,28269,NC,Charlotte,dealer,,172,11,27890,hendrick bmw northlake
11,1,1C6RR7LT9DS654766,19990,93282,2013,,1500,Truck,Pickup,Flex-Fuel,5.7L V8 OHV 16V,Automatic,True Blue Pearl,28227,NC,Charlotte,dealer,,7,7,19990,jaguar charlotte
12,1,1D7RV1CT6AS118750,15072,145332,2010,,Ram Pickup 1500,Truck,Pickup,Flex-Fuel,5.7L V8 OHV 16V,Automatic,,28212,NC,Charlotte,dealer,,25,25,15072,montgomery mazda
